source,sink
GREM1,BMP6
GREM1,BMP7
GREM1,BMP8B
GREM1,GDF5
GREM2,GDF7
GREM2,AMH
GREM2,BMP8A
GREM2,GDF6
GREM2,BMP2
GREM2,BMP4
GREM2,BMP5
GREM2,BMP6
GREM2,BMP7
GREM2,BMP8B
GREM2,GDF5
